Date/Time,Word Count,en,ru
2021.12.10-16.55.10,13365,0,13365
2021.12.10-17.03.24,13353,0,13353
2021.12.10-17.04.36,1434,0,1434
2021.12.10-18.22.10,1434,1410,1434
2021.12.13-13.43.30,1436,1401,1436
2021.12.13-13.45.14,1436,1410,1436
2021.12.13-13.46.54,1436,1385,1436
2021.12.13-13.47.17,1436,1410,1436
2021.12.13-13.49.07,1419,1376,1419
2021.12.13-13.49.24,1419,1393,1419
2021.12.13-13.54.18,1419,1377,1419
2021.12.13-13.54.45,1419,1393,1419
2021.12.13-14.13.16,1419,1379,1419
2021.12.13-14.14.05,1419,1393,1419
2021.12.13-14.15.08,1419,1381,1419
2021.12.13-14.16.47,1419,1393,1419
2021.12.13-18.10.38,1417,1343,1417
2021.12.13-18.11.13,1417,1391,1417
2021.12.14-14.20.33,1395,1363,1395
2021.12.14-14.22.36,1395,1369,1395
2021.12.14-15.48.18,1397,1356,1397
2021.12.14-15.50.18,1401,1356,1401
2021.12.14-15.50.48,1401,1373,1401
